Location,Cases - cumulative total,Deaths - cumulative total,Transmission Classification,Population (2020)
United States of America,28825174,522469,Community transmission,1382345085.0
India,11262707,158063,Clusters of cases,331341050.0
Brazil,11051665,266398,Community transmission,274021604.0
Russian Federation,4351553,90275,Clusters of cases,221612785.0
The United Kingdom,4229002,124797,Community transmission,212821986.0
France,3864335,88813,Community transmission,206984347.0
Spain,3164983,71727,Community transmission,164972348.0
Italy,3101093,100479,Clusters of cases,145945524.0
Turkey,2807387,29160,Community transmission,129166028.0
Germany,2518591,72489,Community transmission,126407422.0
Colombia,2278861,60598,Community transmission,115434444.0
Argentina,2162001,53252,Community transmission,109830324.0
Mexico,2130477,190923,Community transmission,102659126.0
Poland,1828313,45997,Community transmission,97490013.0
Iran (Islamic Republic of),1706559,60867,Community transmission,90003954.0
South Africa,1522697,50906,Community transmission,84495243.0
Ukraine,1416438,27423,Community transmission,84176929.0
Indonesia,1392945,37757,Community transmission,83830972.0
Peru,1374467,47973,Community transmission,69830779.0
Czechia,1351195,22385,Community transmission,67948282.0
Netherlands,1128202,15917,Community transmission,65298930.0
Canada,890698,22276,Community transmission,60446035.0
Chile,864064,21182,Community transmission,60012400.0
Romania,835552,21056,Community transmission,59436725.0
Portugal,811306,16595,Clusters of cases,54473253.0
Israel,806257,5925,Community transmission,53968739.0
Belgium,791171,22327,Community transmission,51276977.0
Iraq,735626,13618,Community transmission,50976248.0
Sweden,695975,13042,Community transmission,46757980.0
Philippines,600428,12528,Community transmission,45974931.0
Pakistan,593453,13281,Community transmission,45267449.0
Switzerland,563742,9307,Community transmission,43984569.0
Bangladesh,552087,8489,Community transmission,44019263.0
Serbia,494106,4599,Community transmission,43686577.0
Morocco,486833,8695,Clusters of cases,40372771.0
Hungary,480860,16325,Community transmission,39074280.0
Austria,475979,8582,Community transmission,37839255.0
Jordan,442202,5046,Community transmission,37799407.0
Japan,441279,8353,Clusters of cases,36985624.0
United Arab Emirates,415705,1345,Community transmission,34905942.0
Lebanon,401810,5134,Community transmission,33551824.0
Saudi Arabia,380572,6539,Sporadic cases,33050211.0
Panama,345236,5934,Community transmission,33032075.0
Slovakia,329593,8146,Clusters of cases,32436963.0
Malaysia,316269,1186,Clusters of cases,31398811.0
Belarus,297514,2055,Community transmission,31181428.0
Ecuador,295114,16069,Community transmission,29935468.0
Nepal,274869,3012,Clusters of cases,29225196.0
Georgia,273650,3613,Community transmission,28421581.0
Kazakhstan,268902,3456,Clusters of cases,27808395.0
Bulgaria,266805,10902,Clusters of cases,26655083.0
Bolivia (Plurinational State of),254736,11845,Community transmission,26486282.0
Croatia,248061,5625,Community transmission,25798588.0
Dominican Republic,243778,3191,Community transmission,25550683.0
Tunisia,238613,8268,Community transmission,24346468.0
Azerbaijan,237260,3250,Clusters of cases,23824369.0
"occupied Palestinian territory, including east Jerusalem",226734,2400,Community transmission,21428970.0
Ireland,223957,4452,Community transmission,20997293.0
Denmark,215791,2381,Community transmission,20346106.0
Greece,209462,6843,Community transmission,19214608.0
Costa Rica,207460,2841,Community transmission,19211425.0
Lithuania,203386,3351,Community transmission,19144605.0
Kuwait,203055,1141,Community transmission,18815231.0
Republic of Moldova,196475,4150,Community transmission,18468257.0
Slovenia,196422,4169,Clusters of cases,17971382.0
Egypt,187716,11082,Clusters of cases,17688599.0
Guatemala,179563,6493,Community transmission,17571053.0
Armenia,175538,3237,Community transmission,17141544.0
Honduras,174243,4283,Community transmission,16816539.0
Paraguay,169860,3343,Community transmission,16758448.0
Ethiopia,168335,2451,Community transmission,16502877.0
Qatar,167888,264,Community transmission,15965848.0
Nigeria,159252,1988,Community transmission,14899771.0
Oman,144831,1597,Community transmission,13191279.0
Venezuela (Bolivarian Republic of),142774,1391,Community transmission,13005303.0
Myanmar,142059,3200,Clusters of cases,12175480.0
Libya,140688,2297,Community transmission,11948454.0
Bosnia and Herzegovina,138542,5345,Community transmission,11839918.0
Bahrain,127800,474,Clusters of cases,11700207.0
Algeria,114543,3022,Community transmission,11598451.0
Albania,114209,1969,Clusters of cases,11426356.0
