location,stringency_index,population_density,median_age,aged_65_and_older,aged_70_and_older,gdp_per_capita,extreme_poverty,cardiovascular_death_rate,diabetes_prevalence,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index
Afghanistan,41.88669354838743,54.42199999999983,18.600000000000115,2.5810000000000115,1.3369999999999924,1803.9869999999985,,597.0290000000028,9.590000000000044,37.7459999999997,0.5,64.83000000000054,0.5109999999999975
Africa,,,,,,,,,,,,,
Albania,63.921617250673634,104.87099999999937,38.0,13.188000000000079,8.643000000000022,11803.43099999995,1.1000000000000065,304.1950000000029,10.079999999999952,,2.889999999999996,78.56999999999975,0.7949999999999977
Algeria,70.94264150943422,17.34799999999996,29.100000000000207,6.210999999999982,3.856999999999986,13913.838999999984,0.5,278.3640000000011,6.7300000000000155,83.74100000000088,1.8999999999999868,76.88000000000024,0.7479999999999957
Andorra,47.45706849315084,163.75499999999894,,,,,,109.13499999999983,7.969999999999953,,,83.72999999999962,0.8679999999999962
Angola,71.22596590909109,23.890000000000114,16.800000000000107,2.404999999999981,1.362000000000009,5819.495000000053,,276.0449999999986,3.940000000000034,26.66400000000003,,61.15000000000017,0.5809999999999971
Anguilla,,,,,,,,,,,,81.88000000000005,
Antigua and Barbuda,,231.84500000000088,32.100000000000215,6.932999999999994,4.631000000000021,21490.942999999974,,191.510999999999,13.170000000000053,,3.7999999999999745,77.02000000000037,0.7779999999999991
Argentina,72.45465277777718,16.176999999999897,31.89999999999976,11.198000000000011,7.44099999999994,18933.90699999985,0.5999999999999964,191.03200000000086,5.5,,5.0,76.66999999999913,0.8450000000000075
Armenia,,102.93099999999981,35.7000000000002,11.231999999999978,7.570999999999952,8787.580000000045,1.7999999999999952,341.0099999999978,7.109999999999995,94.04300000000043,4.200000000000028,75.09000000000013,0.7760000000000054
Asia,,,,,,,,,,,,,
Australia,59.19571078431369,3.2019999999999986,37.89999999999975,15.503999999999923,10.128999999999932,44648.710000000465,0.5,107.79099999999963,5.069999999999982,,3.839999999999978,83.43999999999956,0.9440000000000024
Austria,59.061587301587345,106.74900000000052,44.39999999999979,19.20200000000016,13.747999999999942,45436.686000000314,0.6999999999999951,145.18299999999928,6.349999999999954,,7.369999999999933,81.54000000000063,0.9220000000000049
Azerbaijan,77.65913978494599,119.30900000000058,32.39999999999978,6.018000000000019,3.8710000000000186,15847.419000000007,,559.8120000000035,7.109999999999995,83.24100000000085,4.7000000000000295,73.0,0.7559999999999975
Bahamas,76.60586592178753,39.49699999999981,34.29999999999984,8.99600000000006,5.200000000000031,27717.846999999907,,235.95399999999898,13.170000000000053,,2.899999999999986,73.91999999999936,0.8139999999999982
Bahrain,61.77968421052675,1935.9070000000058,32.39999999999978,2.3719999999999875,1.3869999999999985,43290.70500000007,,151.68899999999897,16.52000000000014,,2.0,77.29000000000063,0.8519999999999968
Bangladesh,78.2384677419357,1265.0360000000067,27.5,5.0979999999999706,3.2619999999999676,3523.9840000000086,14.800000000000102,298.002999999998,8.380000000000072,34.808000000000334,0.8000000000000056,72.59000000000013,0.6320000000000034
Barbados,56.77745762711833,664.4629999999963,39.79999999999976,14.95200000000014,9.472999999999965,16978.067999999974,,170.0500000000011,13.570000000000013,88.46900000000025,5.799999999999971,79.18999999999954,0.8139999999999981
Belarus,18.60438502673796,46.858000000000146,40.299999999999734,14.79899999999998,9.78800000000001,17167.967000000106,,443.12899999999763,5.180000000000018,,11.0,74.79000000000062,0.8229999999999981
Belgium,56.92878787878755,375.56400000000053,41.79999999999969,18.570999999999927,12.849000000000085,42658.575999999804,0.20000000000000148,114.89800000000056,4.289999999999977,,5.640000000000028,81.63000000000032,0.930999999999998
Belize,72.02931547619069,16.42600000000008,25.0,3.8530000000000006,2.278999999999997,7824.362000000028,,176.9570000000007,17.10999999999992,90.08299999999947,1.3000000000000076,74.61999999999983,0.7160000000000027
Benin,43.3019887955181,99.1100000000004,18.800000000000118,3.2440000000000078,1.942000000000005,2064.236000000002,49.60000000000011,235.8479999999992,0.990000000000005,11.034999999999949,0.5,61.770000000000344,0.5449999999999966
Bermuda,51.36433962264147,1308.8200000000002,,,,50669.31499999996,,139.5469999999998,13.0,,,82.59000000000006,
Bhutan,73.03678670360088,21.188000000000088,28.600000000000197,4.884999999999992,2.97699999999999,8708.597000000038,1.5,217.06600000000054,9.75,79.80700000000046,1.700000000000002,71.77999999999973,0.6539999999999978
Bolivia,72.56369444444428,10.202000000000101,25.399999999999824,6.703999999999999,4.393000000000016,6885.828999999956,7.099999999999952,204.29899999999938,6.890000000000012,25.38299999999986,1.1000000000000059,71.50999999999952,0.7179999999999965
Bosnia and Herzegovina,54.95069060773487,68.49599999999948,42.5,16.569000000000116,10.710999999999903,11713.895,0.2000000000000014,329.6349999999979,10.079999999999952,97.16400000000017,3.5,77.40000000000049,0.7799999999999978
Botswana,60.46688427299698,4.0440000000000165,25.800000000000054,3.9410000000000145,2.2419999999999916,15807.373999999909,,237.37200000000163,4.809999999999963,,1.7999999999999985,69.59000000000013,0.7350000000000065
